Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Career_Category,technical_strength,soft_skill_strength,leadership_index,experience_index,academic_index
Engineering,Interior Designer,3.051281363601992,0,0,0,1,0,0,3,0,1,0,3,0,3,0,Other,2.3333333333333335,0.0,4,0,3.051281363601992
Architecture,Game Developer,4.882464657587002,3,2,1,1,1,1,2,2,1,0,1,3,2,1,Other,1.3333333333333333,1.6666666666666667,3,5,5.882464657587002
Chemistry,Music Teacher,2.849628835834241,0,2,3,1,0,0,2,3,2,3,4,2,3,0,Research & Science,2.6666666666666665,2.6666666666666665,4,5,2.849628835834241
Law,Market Research Analyst,3.325656325067502,0,2,3,0,7,0,2,0,4,3,1,3,0,1,Public & Legal,2.3333333333333335,2.0,0,6,10.325656325067502
Music,Conductor,2.861092300527823,5,1,1,1,0,1,2,2,1,3,4,3,1,1,Other,2.3333333333333335,2.6666666666666665,2,4,2.861092300527823
Medicine,Chemical Engineer,4.189086124027632,6,2,2,0,4,1,1,2,3,3,3,3,1,1,Healthcare,2.3333333333333335,2.6666666666666665,1,6,8.189086124027632
Marketing,School Psychologist,4.670245899434831,4,0,4,0,3,1,1,0,3,1,0,1,2,1,Other,1.3333333333333333,0.6666666666666666,2,6,7.670245899434831
Physics,Psychologist,4.045535068198723,1,0,2,1,6,1,2,0,0,3,0,0,4,0,Research & Science,0.6666666666666666,1.0,5,3,10.045535068198724
Biology,Special Education Teacher,3.0815093503014723,7,0,0,1,6,0,4,3,0,2,1,1,3,1,Research & Science,1.6666666666666667,2.0,4,1,9.081509350301472
Computer Science,Surgeon,3.293037413815491,2,1,2,0,8,1,0,0,3,1,1,4,2,0,Technology,1.3333333333333333,1.6666666666666667,2,4,11.29303741381549
Finance,Digital Marketing Specialist,4.411688423234405,8,0,4,0,8,1,3,0,0,1,0,1,4,1,Other,1.0,0.6666666666666666,4,6,12.411688423234406
Chemistry,Forensic Psychologist,4.91524984804653,1,2,3,0,9,1,0,0,4,1,0,3,0,0,Research & Science,1.3333333333333333,1.3333333333333333,0,6,13.91524984804653
Architecture,Judge,4.597910696845415,1,1,4,1,8,0,1,0,2,3,4,3,2,1,Other,2.3333333333333335,2.0,3,6,12.597910696845414
Biology,Analytical Chemist,2.878498258050343,6,2,1,0,3,1,0,4,1,0,1,0,3,1,Research & Science,0.6666666666666666,1.3333333333333333,3,5,5.878498258050342
Medicine,Illustrator,4.419582883962078,8,2,0,0,7,1,1,4,2,0,1,2,1,1,Healthcare,1.3333333333333333,2.0,1,4,11.419582883962079
Music,Web Developer,3.6660943730625073,5,0,0,1,8,0,1,1,2,3,0,3,1,0,Other,1.0,2.3333333333333335,2,0,11.666094373062506
Computer Science,Art Therapist,2.5841469169994107,0,2,4,1,6,1,3,2,1,0,2,2,4,1,Technology,2.0,1.3333333333333333,5,8,8.58414691699941
Chemistry,Counselor,3.409774458210828,7,1,1,1,5,1,0,0,1,2,0,2,2,0,Research & Science,0.3333333333333333,1.3333333333333333,3,3,8.409774458210828
Chemistry,Nurse,4.997478345619685,2,0,4,0,5,1,0,0,2,3,1,4,0,0,Research & Science,1.0,2.3333333333333335,0,5,9.997478345619685
Marketing,Chemical Engineer,3.2274262997873766,1,1,4,1,1,0,4,2,0,1,1,4,2,1,Other,1.6666666666666667,2.3333333333333335,3,6,4.227426299787377
Architecture,Marketing Manager,3.038927520900584,5,1,1,1,5,1,1,2,2,3,1,2,0,0,Other,1.3333333333333333,2.3333333333333335,1,3,8.038927520900584
Psychology,Teacher,4.566338664638026,1,0,4,0,0,0,4,0,4,1,4,0,2,0,Other,4.0,0.3333333333333333,2,4,4.566338664638026
Art,Doctor,3.19249995864387,5,0,2,0,6,1,2,3,4,0,2,3,3,1,Other,2.6666666666666665,2.0,3,4,9.19249995864387
Engineering,Paralegal,2.9207042900764284,1,2,4,0,4,1,1,3,4,1,2,3,0,1,Other,2.3333333333333335,2.3333333333333335,0,8,6.920704290076428
Music,Art Director,3.78292121385146,6,1,3,0,8,1,2,1,2,4,4,1,2,0,Other,2.6666666666666665,2.0,2,5,11.78292121385146
Law,Psychologist,4.581031654142441,9,0,0,0,9,0,0,1,2,4,3,3,0,0,Public & Legal,1.6666666666666667,2.6666666666666665,0,0,13.581031654142441
Law,Data Scientist,3.452044937923984,5,2,3,0,3,0,3,2,0,3,0,1,0,1,Public & Legal,1.0,2.0,0,6,6.452044937923985
Physics,Software Developer,3.038082477030586,7,1,3,0,5,1,1,3,4,1,0,4,4,1,Research & Science,1.6666666666666667,2.6666666666666665,4,6,8.038082477030585
Marketing,Graphic Designer,3.3871950610516777,3,0,2,0,1,0,3,3,2,0,2,4,1,0,Other,2.3333333333333335,2.3333333333333335,1,2,4.387195061051678
Marketing,Urban Planner,4.033337379126986,2,0,4,1,5,0,1,2,1,2,3,3,3,1,Other,1.6666666666666667,2.3333333333333335,4,5,9.033337379126987
Architecture,Investment Banker,2.790305704303844,3,0,3,1,3,1,3,2,3,2,2,2,2,1,Other,2.6666666666666665,2.0,3,5,5.790305704303844
Education,Curriculum Developer,3.0508604172686944,3,2,1,0,7,0,2,4,0,4,2,0,3,0,Education,1.3333333333333333,2.6666666666666665,3,3,10.050860417268694
Medicine,Microbiologist,4.690325622614975,6,2,1,0,5,0,4,2,1,4,2,0,0,1,Healthcare,2.3333333333333335,2.0,0,4,9.690325622614974
Chemistry,Surgeon,3.1417042275029963,8,2,3,0,0,0,3,1,3,3,0,3,4,0,Research & Science,2.0,2.3333333333333335,4,5,3.1417042275029963
Music,Interior Designer,4.179276864405921,7,1,3,1,8,0,1,3,2,2,4,3,1,0,Other,2.3333333333333335,2.6666666666666665,2,4,12.17927686440592
Chemistry,Education Administrator,4.212333987547685,0,1,4,1,9,1,4,1,3,3,0,0,3,1,Research & Science,2.3333333333333335,1.3333333333333333,4,7,13.212333987547684
Computer Science,Data Scientist,3.621420878875026,0,0,0,1,5,0,2,1,4,3,0,2,4,0,Technology,2.0,2.0,5,0,8.621420878875027
Business,Mechanical Engineer,2.759921182051804,1,1,2,0,4,0,0,0,0,3,2,4,4,1,Management,0.6666666666666666,2.3333333333333335,4,4,6.759921182051804
Physics,Urban Planner,3.74708005223676,7,2,2,1,2,0,3,1,1,1,3,1,4,1,Research & Science,2.3333333333333335,1.0,5,5,5.74708005223676
Education,Biochemist,3.500019315410001,4,2,4,1,8,1,2,0,1,4,2,0,2,0,Education,1.6666666666666667,1.3333333333333333,3,7,11.50001931541
Engineering,Nuclear Physicist,2.929644640829822,0,0,2,1,3,1,2,1,4,1,0,3,1,0,Other,2.0,1.6666666666666667,2,3,5.929644640829822
Medicine,Market Research Analyst,2.8670739690819045,6,2,2,1,6,0,1,4,2,1,4,2,3,0,Healthcare,2.3333333333333335,2.3333333333333335,4,4,8.867073969081904
Biology,Aerospace Engineer,3.8951305108248526,9,0,3,1,8,1,2,3,1,1,2,0,4,1,Research & Science,1.6666666666666667,1.3333333333333333,5,5,11.895130510824853
Chemistry,Microbiologist,3.8695643464862863,6,1,4,1,8,0,3,4,4,2,3,1,3,0,Research & Science,3.3333333333333335,2.3333333333333335,4,5,11.869564346486285
Finance,Game Developer,3.752472237757201,1,2,1,1,0,1,3,0,3,0,4,2,0,1,Other,3.3333333333333335,0.6666666666666666,1,5,3.752472237757201
Law,Conductor,3.5092061094428795,6,1,2,1,6,1,1,1,3,0,1,4,4,1,Public & Legal,1.6666666666666667,1.6666666666666667,5,5,9.509206109442879
Art,Game Developer,4.543993395432022,3,0,0,1,5,0,1,0,0,2,0,2,1,0,Other,0.3333333333333333,1.3333333333333333,2,0,9.543993395432022
Medicine,Animator,4.868112458444806,4,0,0,1,1,1,0,0,0,3,2,1,1,1,Healthcare,0.6666666666666666,1.3333333333333333,2,2,5.868112458444806
Law,Sound Engineer,3.5918948428140984,4,2,4,1,0,1,3,3,2,1,4,2,0,1,Public & Legal,3.0,2.0,1,8,3.5918948428140984
Psychology,Financial Advisor,3.561989740642229,5,1,1,1,1,1,0,0,2,3,1,0,3,0,Other,1.0,1.0,4,3,4.561989740642229
Education,Curriculum Developer,3.4823549430047414,7,1,4,1,7,1,0,0,2,1,2,4,3,1,Education,1.3333333333333333,1.6666666666666667,4,7,10.482354943004742
Law,Landscape Architect,3.062612942473321,0,0,3,0,6,1,0,2,0,0,1,1,3,1,Public & Legal,0.3333333333333333,1.0,3,5,9.06261294247332
Marketing,Manager,4.385635955324699,8,0,3,1,2,0,2,4,2,1,2,4,3,0,Other,2.0,3.0,4,3,6.385635955324699
Marketing,Accountant,2.572426267357782,0,0,4,1,4,0,2,3,0,0,2,0,0,0,Other,1.3333333333333333,1.0,1,4,6.572426267357782
Physics,Ecologist,3.0655981145157054,7,0,3,0,7,0,1,3,4,1,3,1,2,0,Research & Science,2.6666666666666665,1.6666666666666667,2,3,10.065598114515705
Chemistry,Legal Analyst,3.926535042580322,0,2,1,1,5,1,2,3,4,3,0,0,1,0,Research & Science,2.0,2.0,2,4,8.926535042580323
Music,Organic Chemist,3.048544481664348,9,0,1,0,1,0,0,4,4,0,0,4,0,0,Other,1.3333333333333333,2.6666666666666665,0,1,4.048544481664348
Finance,Web Developer,3.3873579653113475,0,1,3,1,4,1,2,0,3,3,2,1,1,0,Other,2.3333333333333335,1.3333333333333333,2,5,7.387357965311347
Marketing,Industrial-Organizational Psychologist,4.647235248464243,3,2,3,0,3,0,2,2,3,4,1,4,0,0,Other,2.0,3.3333333333333335,0,5,7.647235248464243
Chemistry,Interior Designer,2.520192130328506,1,1,0,0,7,0,3,1,1,1,3,4,4,0,Research & Science,2.3333333333333335,2.0,4,1,9.520192130328507
Physics,Aerospace Engineer,4.675831753841454,2,2,4,1,3,0,4,0,0,3,1,4,0,1,Research & Science,1.6666666666666667,2.3333333333333335,1,7,7.675831753841454
Art,Conductor,3.4753446162259887,1,0,0,1,2,0,2,4,1,2,3,0,0,0,Other,2.0,2.0,1,0,5.475344616225989
Chemistry,Web Developer,4.215755640189045,1,0,2,0,7,0,2,3,4,3,4,2,3,1,Research & Science,3.3333333333333335,2.6666666666666665,3,3,11.215755640189045
Medicine,AI Researcher,3.748473690096581,9,2,0,0,5,1,1,0,0,2,0,4,4,0,Healthcare,0.3333333333333333,2.0,4,3,8.748473690096581
Art,Aerospace Engineer,4.647663156368122,6,0,0,0,8,0,1,0,2,2,4,0,1,1,Other,2.3333333333333335,0.6666666666666666,1,1,12.647663156368122
Education,Psychologist,3.889936345687226,6,1,0,0,7,0,3,4,0,4,2,0,3,1,Education,1.6666666666666667,2.6666666666666665,3,2,10.889936345687225
Chemistry,Marketing Specialist,2.8090174336257374,9,0,2,0,4,0,1,2,3,4,1,0,1,0,Research & Science,1.6666666666666667,2.0,1,2,6.809017433625737
Psychology,Risk Analyst,3.969376352477013,0,0,3,1,2,0,0,0,3,2,0,1,3,0,Other,1.0,1.0,4,3,5.969376352477013
Law,Music Therapist,2.8915102368398724,3,0,2,1,6,0,3,0,1,1,0,4,3,1,Public & Legal,1.3333333333333333,1.6666666666666667,4,3,8.891510236839872
Law,Interior Designer,3.138968178304591,0,1,1,0,4,0,1,1,2,2,0,0,3,0,Public & Legal,1.0,1.0,3,2,7.138968178304591
Finance,Judge,2.5381646499431385,9,1,1,0,3,0,3,3,2,1,3,1,2,1,Other,2.6666666666666665,1.6666666666666667,2,3,5.5381646499431385
Medicine,Art Therapist,3.047476225015817,6,1,4,0,3,1,0,3,2,4,3,3,0,0,Healthcare,1.6666666666666667,3.3333333333333335,0,6,6.047476225015817
Engineering,Teacher,3.2267695431117165,5,0,1,1,1,1,0,1,1,0,2,2,1,0,Other,1.0,1.0,2,2,4.2267695431117165
Medicine,Entrepreneur,4.4096604694609045,2,1,4,0,9,0,3,0,2,3,1,3,4,1,Healthcare,2.0,2.0,4,6,13.409660469460905
Computer Science,Art Therapist,3.528697356766357,2,0,0,0,0,0,4,2,2,4,4,3,3,0,Technology,3.3333333333333335,3.0,3,0,3.528697356766357
Marketing,Physicist,4.407120397209464,9,1,2,1,5,1,1,3,3,4,2,2,0,1,Other,2.0,3.0,1,5,9.407120397209464
Law,Chemist,4.87526061928022,5,1,0,0,2,0,3,2,0,1,4,1,3,1,Public & Legal,2.3333333333333335,1.3333333333333333,3,2,6.87526061928022
Architecture,Art Director,4.803756541848001,3,0,4,0,0,0,1,2,1,1,2,3,3,0,Other,1.3333333333333333,2.0,3,4,4.803756541848001
Architecture,Lawyer,3.977176081351389,4,2,2,0,1,0,3,0,2,0,0,0,3,0,Other,1.6666666666666667,0.0,3,4,4.977176081351389
Engineering,Inorganic Chemist,4.054943922412952,0,0,3,0,3,0,0,3,4,3,0,3,3,1,Other,1.3333333333333333,3.0,3,4,7.054943922412952
Finance,Brand Manager,3.086418262922494,8,0,1,0,4,0,1,3,4,0,3,2,1,1,Other,2.6666666666666665,1.6666666666666667,1,2,7.0864182629224945
Business,Nuclear Physicist,2.766411210226466,3,1,3,1,7,0,0,4,2,2,0,2,1,0,Management,0.6666666666666666,2.6666666666666665,2,4,9.766411210226465
Marketing,Artist,2.767842218069962,2,2,0,1,6,1,2,0,3,0,1,0,1,0,Other,2.0,0.0,2,3,8.767842218069962
Marketing,Acoustics Specialist,3.93042065815363,1,0,3,1,2,0,0,1,1,3,1,1,3,1,Other,0.6666666666666666,1.6666666666666667,4,4,5.93042065815363
Computer Science,Interior Designer,3.272845118630083,6,2,1,0,0,0,3,0,0,2,0,3,4,1,Technology,1.0,1.6666666666666667,4,4,3.272845118630083
Chemistry,Actuary,3.942509494713492,9,1,2,0,2,1,3,1,2,0,0,2,3,1,Research & Science,1.6666666666666667,1.0,3,5,5.942509494713493
Chemistry,Dentist,4.565848763989988,9,2,1,1,5,1,0,3,1,2,1,0,1,1,Research & Science,0.6666666666666666,1.6666666666666667,2,5,9.565848763989987
Music,Music Therapist,3.45206242822771,6,2,4,1,3,0,2,1,3,4,4,3,4,0,Other,3.0,2.6666666666666665,5,6,6.45206242822771
Business,Landscape Architect,3.9156942609742016,2,0,0,0,7,1,0,2,1,3,0,2,2,0,Management,0.3333333333333333,2.3333333333333335,2,1,10.915694260974202
Psychology,Biomedical Engineer,3.4713398553946284,9,0,3,1,0,1,4,0,0,3,3,2,0,1,Other,2.3333333333333335,1.6666666666666667,1,5,3.4713398553946284
Marketing,Legal Secretary,4.36795643229726,7,1,3,1,4,0,1,3,4,1,4,1,1,1,Other,3.0,1.6666666666666667,2,5,8.367956432297259
Architecture,Chemical Engineer,2.895547940326997,8,2,2,1,0,1,4,1,3,4,3,1,4,1,Other,3.3333333333333335,2.0,5,6,2.895547940326997
Physics,Astronomer,4.308895919099701,2,0,1,0,1,0,3,2,4,2,3,1,3,1,Research & Science,3.3333333333333335,1.6666666666666667,3,2,5.308895919099701
Chemistry,Organic Chemist,4.0833618625398245,7,0,1,1,5,1,4,1,3,4,1,4,0,1,Research & Science,2.6666666666666665,3.0,1,3,9.083361862539824
Computer Science,Animator,4.513594197725976,8,2,1,0,5,1,3,1,0,0,4,0,4,0,Technology,2.3333333333333335,0.3333333333333333,4,4,9.513594197725975
Engineering,Zoologist,2.966120105564698,3,1,3,0,8,1,1,2,3,0,3,1,1,1,Other,2.3333333333333335,1.0,1,6,10.966120105564698
Engineering,Biomedical Engineer,3.409148680327732,6,2,3,0,7,0,1,2,2,2,0,0,1,0,Other,1.0,1.3333333333333333,1,5,10.409148680327732
Marketing,Music Teacher,4.079120339560614,5,1,3,0,5,0,0,0,0,0,4,0,2,0,Other,1.3333333333333333,0.0,2,4,9.079120339560614
Medicine,Nurse,4.880409785984379,3,0,1,1,4,0,1,4,3,1,3,2,4,1,Healthcare,2.3333333333333335,2.3333333333333335,5,2,8.88040978598438
Engineering,Legal Consultant,4.072392548064631,8,1,3,0,2,0,4,0,4,4,4,4,3,1,Other,4.0,2.6666666666666665,3,5,6.072392548064631
Marketing,Curriculum Developer,2.884064393203676,4,1,2,0,8,0,2,1,2,0,1,2,3,1,Other,1.6666666666666667,1.0,3,4,10.884064393203676
Music,Civil Engineer,3.1479830280031185,8,1,3,1,1,1,3,1,0,0,0,1,1,0,Other,1.0,0.6666666666666666,2,5,4.147983028003118
Architecture,Software Developer,4.450911168580807,8,0,2,1,6,1,1,2,1,2,3,0,0,1,Other,1.6666666666666667,1.3333333333333333,1,4,10.450911168580806
Finance,Biochemist,4.804682988310068,1,2,4,0,6,0,4,1,2,2,3,2,0,1,Other,3.0,1.6666666666666667,0,7,10.804682988310068
Business,Software Developer,4.003754338502018,8,2,1,0,6,1,0,4,4,0,2,3,2,1,Management,2.0,2.3333333333333335,2,5,10.003754338502018
Business,Web Developer,4.570196678252482,5,1,1,1,1,0,2,2,0,1,0,3,4,1,Management,0.6666666666666666,2.0,5,3,5.570196678252482
Biology,Architect,3.1387198663822367,2,0,2,0,1,1,1,4,1,3,3,0,0,1,Research & Science,1.6666666666666667,2.3333333333333335,0,4,4.138719866382237
Finance,Construction Manager,4.414580737184015,9,1,2,1,2,1,0,1,0,1,0,4,3,0,Other,0.0,2.0,4,4,6.414580737184015
Marketing,Graphic Designer,2.721829040517122,3,1,2,1,6,0,4,2,0,0,4,2,4,1,Other,2.6666666666666665,1.3333333333333333,5,4,8.721829040517122
Business,Risk Analyst,4.98173947780012,3,1,2,1,5,1,3,2,0,0,4,4,3,0,Management,2.3333333333333335,2.0,4,4,9.981739477800119
Architecture,Music Therapist,2.896821226895141,7,2,0,1,1,1,3,1,2,1,0,2,0,1,Other,1.6666666666666667,1.3333333333333333,1,4,3.896821226895141
Art,Biomedical Engineer,3.322279400547208,1,0,4,0,5,1,4,2,3,2,0,1,4,1,Other,2.3333333333333335,1.6666666666666667,4,6,8.322279400547208
Architecture,Zoologist,3.720865401745997,4,1,3,1,2,0,0,1,1,3,2,2,2,1,Other,1.0,2.0,3,5,5.720865401745996
Business,Investment Banker,3.656134112635971,3,0,4,0,1,1,0,0,4,2,1,3,3,0,Management,1.6666666666666667,1.6666666666666667,3,5,4.656134112635971
Biology,Game Developer,4.680543589762815,1,0,4,0,4,0,4,1,3,4,1,2,3,0,Research & Science,2.6666666666666665,2.3333333333333335,3,4,8.680543589762815
Finance,Construction Manager,3.5406792476043205,2,2,4,1,5,0,1,3,3,2,2,1,3,0,Other,2.0,2.0,4,6,8.54067924760432
Marketing,Analytical Chemist,3.851035641318067,4,1,3,0,9,1,1,0,3,1,2,2,4,0,Other,2.0,1.0,4,5,12.851035641318067
Education,School Psychologist,3.690179762543067,7,2,2,1,9,1,0,3,2,3,1,4,2,1,Education,1.0,3.3333333333333335,3,6,12.690179762543067
Engineering,Chemist,2.904276111470244,4,1,3,0,9,0,0,4,3,0,0,2,4,0,Other,1.0,2.0,4,4,11.904276111470244
Music,Inorganic Chemist,3.5715372051038616,5,1,0,0,6,1,4,4,4,0,2,1,4,0,Other,3.3333333333333335,1.6666666666666667,4,2,9.571537205103862
Art,Art Director,2.804905802367072,2,2,3,0,2,0,1,1,2,1,2,0,4,0,Other,1.6666666666666667,0.6666666666666666,4,5,4.804905802367072
Medicine,Music Therapist,3.353321389356216,0,1,3,0,7,1,0,0,3,3,4,1,4,1,Healthcare,2.3333333333333335,1.3333333333333333,4,6,10.353321389356216
Business,Data Scientist,3.108749716678445,6,0,1,1,7,1,4,4,1,4,1,4,0,0,Management,2.0,4.0,1,2,10.108749716678446
Architecture,Accountant,4.118273725440004,7,1,3,1,9,0,2,0,0,1,0,2,2,0,Other,0.6666666666666666,1.0,3,4,13.118273725440005
Psychology,Special Education Teacher,4.963985951202176,0,1,2,0,9,0,4,4,1,4,1,1,1,0,Other,2.0,3.0,1,3,13.963985951202176
Chemistry,Pharmacist,4.80465554005941,2,0,2,1,6,0,1,0,1,4,1,2,1,0,Research & Science,1.0,2.0,2,2,10.80465554005941
Finance,Financial Analyst,2.700773559372515,5,0,3,1,8,1,2,3,1,3,2,3,2,1,Other,1.6666666666666667,3.0,3,5,10.700773559372514
Marketing,Principal,3.1410770620679367,9,1,2,1,5,0,3,4,3,2,0,4,4,0,Other,2.0,3.3333333333333335,5,3,8.141077062067936
Psychology,Digital Marketing Specialist,4.97981233718659,1,0,3,0,5,1,3,1,1,0,0,2,0,1,Other,1.3333333333333333,1.0,0,5,9.97981233718659
Medicine,Fluid Mechanics Engineer,4.031539630293674,9,0,3,1,7,1,0,0,1,1,1,1,2,0,Healthcare,0.6666666666666666,0.6666666666666666,3,4,11.031539630293674
Medicine,Advertising Manager,2.9536008704304835,9,0,0,1,6,1,1,3,0,3,1,0,0,1,Healthcare,0.6666666666666666,2.0,1,2,8.953600870430483
Medicine,Aerospace Engineer,4.288515704810253,7,1,0,1,3,0,0,1,3,4,1,0,3,1,Healthcare,1.3333333333333333,1.6666666666666667,4,2,7.288515704810253
Finance,Mechanical Engineer,3.3274408007378207,5,0,0,1,3,0,2,0,4,1,4,2,3,1,Other,3.3333333333333335,1.0,4,1,6.32744080073782
Education,Inorganic Chemist,4.434419461952392,5,1,2,0,9,1,3,1,0,3,3,3,0,1,Education,2.0,2.3333333333333335,0,5,13.434419461952391
Finance,Software Developer,4.489898353129243,5,0,2,0,5,1,4,1,0,0,1,4,3,1,Other,1.6666666666666667,1.6666666666666667,3,4,9.489898353129243
Chemistry,Industrial-Organizational Psychologist,3.09882846394756,9,0,1,1,4,1,2,0,1,1,3,0,4,0,Research & Science,2.0,0.3333333333333333,5,2,7.0988284639475605
Engineering,Actuary,3.148532439341283,0,1,1,1,3,0,4,4,3,1,3,1,4,0,Other,3.3333333333333335,2.0,5,2,6.148532439341283
Psychology,Manager,4.946497618234126,3,1,3,1,1,1,1,0,0,1,2,4,3,0,Other,1.0,1.6666666666666667,4,5,5.946497618234126
Law,Risk Analyst,2.942114261569148,8,2,4,1,4,0,0,4,3,3,2,0,3,0,Public & Legal,1.6666666666666667,2.3333333333333335,4,6,6.942114261569148
Computer Science,Construction Manager,3.568052007762488,5,1,1,1,4,0,1,4,3,3,4,4,3,1,Technology,2.6666666666666665,3.6666666666666665,4,3,7.568052007762488
Psychology,Biologist,4.8419642332465225,6,2,1,1,0,0,4,4,3,1,0,0,2,1,Other,2.3333333333333335,1.6666666666666667,3,4,4.8419642332465225
Chemistry,Legal Consultant,4.784433016197197,0,2,4,0,1,1,4,2,4,0,1,0,4,1,Research & Science,3.0,0.6666666666666666,4,8,5.784433016197197
Music,Cybersecurity Analyst,4.844691084959512,4,2,1,0,5,1,4,2,2,3,0,0,0,1,Other,2.0,1.6666666666666667,0,5,9.844691084959512
Business,Psychologist,2.7366523722458016,2,2,0,0,3,0,1,0,3,4,1,3,1,1,Management,1.6666666666666667,2.3333333333333335,1,3,5.736652372245802
Law,Conductor,2.8572916874039227,9,1,1,1,8,1,3,3,0,4,1,2,2,1,Public & Legal,1.3333333333333333,3.0,3,4,10.857291687403922
Finance,Musician,2.8318927223434582,2,0,0,0,0,1,1,2,4,0,0,1,0,0,Other,1.6666666666666667,1.0,0,1,2.8318927223434582
Medicine,Quantum Physicist,2.9225676227611146,9,1,1,0,5,1,1,1,3,3,0,1,0,0,Healthcare,1.3333333333333333,1.6666666666666667,0,3,7.922567622761115
Art,Composer,4.329947854487081,7,1,0,0,5,1,4,4,4,4,4,4,3,1,Other,4.0,4.0,3,3,9.32994785448708
Computer Science,Urban Planner,4.270302172612565,4,2,2,1,8,0,1,1,4,3,4,0,3,1,Technology,3.0,1.3333333333333333,4,5,12.270302172612565
Marketing,Web Developer,3.9217470824320095,0,2,3,1,7,1,4,3,2,2,3,1,3,0,Other,3.0,2.0,4,6,10.92174708243201
Marketing,Civil Engineer,4.773169897618123,4,0,2,0,5,0,2,2,1,1,4,0,3,1,Other,2.3333333333333335,1.0,3,3,9.773169897618123
Music,Biochemist,2.7285586255257464,9,1,0,0,3,1,4,2,3,1,4,4,3,0,Other,3.6666666666666665,2.3333333333333335,3,2,5.728558625525746
Chemistry,Dentist,4.227090230705596,9,2,3,0,6,0,2,1,3,0,3,4,2,0,Research & Science,2.6666666666666665,1.6666666666666667,2,5,10.227090230705596
Engineering,Special Education Teacher,4.324391677289254,5,0,2,0,1,1,1,0,0,2,0,3,2,1,Other,0.3333333333333333,1.6666666666666667,2,4,5.324391677289254
Biology,Organic Chemist,2.8442277221353844,5,2,2,0,0,0,2,3,0,0,1,4,0,0,Research & Science,1.0,2.3333333333333335,0,4,2.8442277221353844
Education,Digital Marketing Specialist,4.860005103276796,3,0,1,0,5,0,2,4,4,2,0,3,0,0,Education,2.0,3.0,0,1,9.860005103276796
Finance,Legal Consultant,4.232418287013929,8,1,2,0,0,0,2,2,2,3,2,3,2,1,Other,2.0,2.6666666666666665,2,4,4.232418287013929
Computer Science,Pharmacist,2.570033964053364,1,0,3,1,1,0,0,0,3,0,2,2,2,0,Technology,1.6666666666666667,0.6666666666666666,3,3,3.570033964053364
Medicine,Special Education Teacher,3.1403263020407377,3,1,4,1,5,1,4,2,0,2,3,2,4,1,Healthcare,2.3333333333333335,2.0,5,7,8.140326302040737
